Name,file,start_date,end_date,avg_return,volatility,skewness,kurtosis,mdd,sharpe,n_obs,regime_id,regime_name
FTV,FTV_data.csv,42738,43098,0.2999242999234571,0.1546034263814979,0.5144303622549459,9.406743029759834,0.04633576240890969,1.939958944916052,250,2,High-Alpha
GD,GD_data.csv,42738,43098,0.1492507017978209,0.1398778914556102,-0.2975746193306332,6.968220409987994,0.08267090620031803,1.067007089145215,250,2,High-Alpha
GE,GE_data.csv,42738,43098,-0.6014348172548251,0.2007289470169785,-1.699929415703744,10.71216811025547,0.4523659305993691,-2.996253535888639,250,0,Downtrend
GGP,GGP_data.csv,42738,43098,-0.08190886335922093,0.2955468279472875,2.445127140688115,22.41126818970178,0.2688461538461537,-0.2771434358748383,250,1,Stable
GILD,GILD_data.csv,42738,43098,-0.03484791481760999,0.2101870962929451,-0.4667472291959893,13.83179497845567,0.1675441675441675,-0.165794739221485,250,1,Stable
GIS,GIS_data.csv,42738,43098,-0.04651344195878421,0.1787467147614549,-0.7799394756425567,6.487399372022683,0.2071530305428073,-0.2602198424785506,250,1,Stable
GLW,GLW_data.csv,42738,43098,0.2771465796438424,0.1829907910084215,0.2177203405992013,9.81114166019139,0.1325863678804856,1.514538398990186,250,2,High-Alpha
GM,GM_data.csv,42738,43098,0.1549331443896484,0.2097759091138644,0.2714805023642651,5.096972410774973,0.1530825496342737,0.7385650003573676,250,1,Stable
GOOG,GOOG_data.csv,42738,43098,0.2882638957830291,0.153763894237339,-0.06255647588440184,6.214631238902609,0.08638988288874416,1.874717710635537,250,2,High-Alpha
GOOGL,GOOGL_data.csv,42738,43098,0.2673255033460896,0.1519239711386682,-0.1014148796518253,5.651325868504179,0.08445851754490774,1.759600551134152,250,2,High-Alpha
GPC,GPC_data.csv,42738,43098,-0.006556464575935105,0.1986982353888492,-1.493564207662498,14.64850253569598,0.2005562729710937,-0.03299709513325175,250,1,Stable
